2018-04-27 15:00:35 +0000 UTC kube-watch-5d749495c9-2rlx5 
2018-04-27 15:40:01 +0000 UTC kube-watch-65b674b6b4-rrmmj 
2018-04-27 15:33:49 +0000 UTC kube-watch-6c86c7c79c-czxmc 
2018-04-27 15:29:35 +0000 UTC kube-watch-6fb6cc688b-zlp4n 
2018-04-27 15:44:19 +0000 UTC kube-watch-85b964d78c-zbrfw 
2018-04-27 15:02:39 +0000 UTC nginx 
2018-04-27 15:31:38 +0000 UTC nginx 
2018-04-27 15:35:48 +0000 UTC nginx 
2018-04-27 15:42:05 +0000 UTC nginx 
2018-04-27 15:47:46 +0000 UTC nginx 
2018-03-25 09:48:51 +0000 UTC etcd-kubernetes-master-cloudish 
